10AA01-0114-0086	
1712	0.1387
1713	0.1389
1714	0.1385
1715	0.1386
1716	0.1395
1717	0.1393
1718	0.1388
1719	0.1389
1720	0.1402
1721	0.1392
1722	0.1392
1723	0.1390
1724	0.1395
1725	0.1397
1726	0.1401
1727	0.1402
1728	0.1399
1729	0.1403
1730	0.1402
1731	0.1397
1732	0.1397
1733	0.1397
1734	0.1400
1735	0.1398
1736	0.1402
1737	0.1404
1738	0.1401
1739	0.1395
1740	0.1400
1741	0.1400
1742	0.1403
1743	0.1404
1744	0.1403
1745	0.1403
1746	0.1402
1747	0.1405
1748	0.1407
1749	0.1411
1750	0.1409
1751	0.1407
1752	0.1404
1753	0.1405
1754	0.1407
1755	0.1411
1756	0.1416
1757	0.1409
1758	0.1410
1759	0.1408
1760	0.1413
1761	0.1414
1762	0.1412
1763	0.1412
1764	0.1414
1765	0.1414
1766	0.1420
1767	0.1418
1768	0.1415
1769	0.1416
1770	0.1411
1771	0.1415
1772	0.1417
1773	0.1417
1774	0.1415
1775	0.1416
1776	0.1420
1777	0.1421
1778	0.1419
1779	0.1420
1780	0.1419
1781	0.1425
1782	0.1425
1783	0.1430
1784	0.1428
1785	0.1424
1786	0.1424
1787	0.1425
1788	0.1429
1789	0.1431
1790	0.1430
1791	0.1428
1792	0.1429
1793	0.1429
1794	0.1430
1795	0.1430
1796	0.1431
1797	0.1432
1798	0.1434
1799	0.1431
1800	0.1430
1801	0.1429
1802	0.1431
1803	0.1434
1804	0.1439
1805	0.1439
1806	0.1431
1807	0.1428
1808	0.1430
1809	0.1436
1810	0.1438
1811	0.1439
1812	0.1436
1813	0.1433
1814	0.1439
1815	0.1442
1816	0.1436
1817	0.1437
1818	0.1439
1819	0.1437
1820	0.1442
1821	0.1444
1822	0.1445
1823	0.1438
1824	0.1437
1825	0.1440
1826	0.1448
1827	0.1448
1828	0.1445
1829	0.1439
1830	0.1443
1831	0.1452
1832	0.1443
1833	0.1446
1834	0.1448
1835	0.1441
1836	0.1439
1837	0.1446
1838	0.1448
1839	0.1447
1840	0.1448
1841	0.1451
1842	0.1458
1843	0.1458
1844	0.1450
1845	0.1449
1846	0.1454
1847	0.1457
1848	0.1458
1849	0.1456
1850	0.1457
1851	0.1453
1852	0.1452
1853	0.1465
1854	0.1465
1855	0.1458
1856	0.1459
1857	0.1462
1858	0.1464
1859	0.1458
1860	0.1458
1861	0.1463
1862	0.1454
1863	0.1458
1864	0.1469
1865	0.1459
1866	0.1459
1867	0.1462
1868	0.1463
1869	0.1473
1870	0.1469
1871	0.1460
1872	0.1464
1873	0.1468
1874	0.1470
1875	0.1466
1876	0.1466
1877	0.1466
1878	0.1464
1879	0.1471
1880	0.1473
1881	0.1469
1882	0.1477
1883	0.1473
1884	0.1468
1885	0.1473
1886	0.1470
1887	0.1473
1888	0.1475
1889	0.1471
1890	0.1473
1891	0.1476
1892	0.1475
1893	0.1471
1894	0.1474
1895	0.1474
1896	0.1470
1897	0.1470
1898	0.1481
1899	0.1483
1900	0.1470
1901	0.1469
1902	0.1474
1903	0.1484
1904	0.1487
1905	0.1482
1906	0.1477
1907	0.1478
1908	0.1479
1909	0.1483
1910	0.1483
1911	0.1475
1912	0.1474
1913	0.1475
1914	0.1471
1915	0.1480
1916	0.1487
1917	0.1491
1918	0.1491
1919	0.1492
1920	0.1496
1921	0.1484
1922	0.1483
1923	0.1494
1924	0.1491
1925	0.1487
1926	0.1488
1927	0.1479
1928	0.1481
1929	0.1497
1930	0.1494
1931	0.1494
1932	0.1501
1933	0.1505
1934	0.1501
1935	0.1496
1936	0.1502
1937	0.1496
1938	0.1489
1939	0.1496
1940	0.1501
1941	0.1501
1942	0.1492
1943	0.1504
1944	0.1515
1945	0.1506
1946	0.1509
1947	0.1507
1948	0.1516
1949	0.1507
1950	0.1506
1951	0.1507
1952	0.1504
1953	0.1506
1954	0.1512
1955	0.1512
1956	0.1510
1957	0.1511
1958	0.1508
1959	0.1514
1960	0.1516
1961	0.1511
1962	0.1500
1963	0.1512
1964	0.1516
1965	0.1512
1966	0.1515
1967	0.1526
1968	0.1513
1969	0.1508
1970	0.1506
1971	0.1514
1972	0.1518
1973	0.1521
1974	0.1519
1975	0.1520
1976	0.1525
1977	0.1522
1978	0.1514
1979	0.1521
1980	0.1522
1981	0.1517
1982	0.1524
1983	0.1519
1984	0.1519
1985	0.1533
1986	0.1527
1987	0.1531
1988	0.1529
1989	0.1530
1990	0.1533
1991	0.1535
1992	0.1531
1993	0.1532
1994	0.1535
1995	0.1535
1996	0.1533
1997	0.1532
1998	0.1535
1999	0.1540
2000	0.1538
2001	0.1538
2002	0.1534
2003	0.1532
2004	0.1540
2005	0.1545
2006	0.1543
2007	0.1541
2008	0.1535
2009	0.1551
2010	0.1540
2011	0.1547
2012	0.1548
2013	0.1536
2014	0.1540
2015	0.1548
2016	0.1545
2017	0.1542
2018	0.1547
2019	0.1554
2020	0.1551
2021	0.1556
2022	0.1557
2023	0.1549
2024	0.1547
2025	0.1543
2026	0.1547
2027	0.1553
2028	0.1542
2029	0.1548
2030	0.1549
2031	0.1545
2032	0.1550
2033	0.1557
2034	0.1551
2035	0.1558
2036	0.1548
2037	0.1558
2038	0.1569
2039	0.1563
2040	0.1553
2041	0.1557
2042	0.1553
2043	0.1572
2044	0.1555
2045	0.1563
2046	0.1554
2047	0.1582
2048	0.1571
2049	0.1548
2050	0.1560
2051	0.1569
2052	0.1568
2053	0.1564
2054	0.1544
2055	0.1564
2056	0.1546
2057	0.1568
2058	0.1567
2059	0.1560
2060	0.1565
2061	0.1574
2062	0.1565
2063	0.1568
2064	0.1578
2065	0.1580
2066	0.1565
2067	0.1574
2068	0.1559
2069	0.1586
2070	0.1572
2071	0.1596
2072	0.1569
2073	0.1572
2074	0.1590
2075	0.1568
2076	0.1583
2077	0.1580
2078	0.1571
2079	0.1580
2080	0.1584
2081	0.1577
2082	0.1573
2083	0.1601
2084	0.1581
2085	0.1580
